Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,6158.32,6174.41,6188.61,6315.81,6360.38,6324.16,6332.91,6313.54,6087.72,5547.26,5563.14,5450.18,5176.29,4927.56,4515.14,4083.28,3896.22,3897.35,3874.93,3694.74,3854.06,3852.36,3827.31,3937.6,3711.41,3694.8,3743.48,3875.91,3955.39
China,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,2667.43,2734.18,2846.38,2972.98,3022.68,3029.29,3038.4,3005.39,2844.45,2601.83,2409.86,2274.35,2083.32,1935.87,1500.19,1138.75,999.54,961.33,906.38,871.49,1023.82,961.13,968.66,1070.17,903.38,861.54,807.8,778.83,745.2
India,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,571.38,558.99,525.1,503.78,500.41,469.25,431.78,443.4,398.01,355.6,308.18,294.8,260.24,232.62,208.25,198.43,207.67,193.98,192.28,187.8,182.58,173.13,156.92,156.7,164.34,154.53,156.66,153.2,149.11
United States,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,458.79,429.41,439.02,433.89,437.26,434.89,438.64,435.76,466.39,407.6,474.83,486.05,495.86,477.38,511.74,485.47,490.87,540.07,567.17,499.41,512.79,506.77,485.97,486.85,534.89,532.47,517.68,566.95,604.51
European Union (27),CAIT,Manufacturing/Construction,All GHG,MtCO₂e,378.83,371.14,364.54,363.23,364.62,375.84,382.68,397.24,401.76,375.28,452.94,471.87,470.59,485.33,497.34,511.91,500.27,514.23,522.09,508.51,533.34,560.12,560.9,563.7,547.83,531.91,550.81,605.97,669.72
Russia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,250.55,262.09,259.78,249.98,247.03,223.86,226.31,184.01,178.43,166.23,172.38,170.99,152.63,154.88,153.21,151.78,159.65,157.88,165.59,142.48,133.91,149.3,162.06,184.81,143.17,174.77,200.22,216.17,251.41
Japan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,191.68,196.8,197.98,202.35,209.97,216.34,214.45,218.36,211.82,200.12,212.15,232.03,235.19,234.64,233.23,234.11,237.41,234.86,240.4,236.01,233.16,255.94,262.62,263.52,258.56,255.81,257.21,261.56,262.87
Saudi Arabia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,125.12,124.9,122.86,122.89,118.33,101.97,101.2,110.13,110.84,91.02,88.82,79.72,72.48,66.85,65.82,62.28,60.04,52.27,52.9,52.34,49.04,41.91,46.05,40.01,37.67,31.41,32.24,28.17,28.17
Indonesia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,114.44,99.55,84.22,99.98,88.87,78.94,119.16,135.76,126.17,100.25,91.57,111.2,104.64,81.3,80.26,74.67,58.99,62.21,57.94,61.24,47.63,50.9,46.88,46.74,37.84,32.19,29.24,27.75,28.0
Germany,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,99.33,95.14,93.22,95.12,91.25,93.81,94.25,97.18,98.35,86.87,99.87,96.05,96.66,94.77,97.07,98.57,95.84,96.44,102.74,101.69,106.0,108.2,110.52,116.64,117.94,117.55,124.78,133.61,156.15
Iran,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,98.95,96.77,91.87,88.44,93.06,87.31,87.43,84.65,84.26,78.51,79.56,74.76,61.53,58.0,51.81,48.99,44.96,43.73,43.45,42.8,38.3,42.64,37.3,43.36,41.52,36.51,44.88,45.9,37.35
Brazil,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,86.98,90.5,84.69,94.59,97.98,99.23,101.91,105.72,96.44,82.12,91.21,91.21,82.19,82.04,83.37,80.84,82.11,79.36,81.53,74.16,70.41,68.48,64.71,59.04,55.04,53.17,50.94,50.08,46.68
United Arab Emirates,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,80.77,84.65,83.72,82.25,72.1,76.56,72.81,65.21,63.1,59.91,51.83,42.42,34.05,34.91,33.86,35.92,37.8,41.59,33.67,38.64,39.36,39.91,37.72,36.06,33.95,29.58,29.58,33.35,26.64
Turkey,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,72.12,68.79,51.06,50.61,47.98,46.48,54.09,52.08,48.68,41.62,37.53,62.92,63.09,54.96,58.61,59.95,53.1,42.43,58.03,41.36,47.0,45.52,42.08,33.69,30.34,33.16,33.16,34.57,32.76
South Korea,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,71.97,71.83,73.0,76.27,72.23,77.01,76.33,80.13,78.45,69.24,77.57,73.39,79.09,74.08,80.68,82.87,85.99,94.19,95.86,85.22,77.65,86.49,87.41,82.79,79.18,70.98,63.02,61.15,51.44
Canada,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,69.17,67.91,64.5,64.97,64.4,65.15,67.07,66.04,61.91,57.56,64.96,67.47,66.68,69.18,83.35,81.25,77.89,76.62,82.6,79.08,78.35,81.06,81.12,77.57,76.45,73.29,73.4,74.35,76.39
Mexico,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,66.72,68.35,61.94,66.02,59.05,65.75,61.5,67.93,62.17,52.11,64.35,62.13,66.17,58.71,56.3,52.39,51.47,47.89,52.91,51.85,56.36,54.95,54.87,49.33,50.92,50.03,51.75,52.05,53.28
Vietnam,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,63.91,64.33,63.01,63.3,49.55,44.54,42.31,42.95,41.57,38.95,35.35,26.86,24.15,24.06,22.79,19.64,18.33,16.44,14.44,13.75,13.7,13.18,11.0,10.44,7.39,7.21,6.77,6.25,5.66
Pakistan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,55.66,52.6,46.47,41.38,37.9,33.3,35.38,37.78,38.13,39.79,39.34,44.51,40.21,36.96,34.59,29.63,24.77,22.37,22.16,22.62,22.07,21.31,21.48,22.03,20.47,20.54,18.81,16.05,16.67
South Africa,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,46.76,46.11,49.06,49.28,53.37,51.62,45.6,44.54,51.46,61.1,43.88,42.75,49.14,52.98,49.09,42.11,39.82,36.53,40.55,40.83,47.56,45.05,41.34,37.18,36.36,35.42,42.89,48.83,54.12
Thailand,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,43.94,49.61,48.65,54.13,50.74,50.56,48.69,44.14,49.93,44.77,45.53,41.18,48.4,45.64,43.24,38.15,37.79,33.65,30.8,31.37,28.12,32.86,35.91,31.83,27.79,23.51,19.12,16.42,14.74
Egypt,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,41.12,35.26,34.62,32.34,29.75,31.59,28.06,31.68,31.77,31.53,36.37,39.23,34.28,33.11,23.72,28.65,30.85,32.81,25.29,26.29,24.74,26.72,25.32,22.98,20.51,28.05,25.81,24.18,26.59
France,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,40.08,42.47,43.48,41.71,42.88,45.07,43.72,46.12,45.11,41.25,52.54,54.03,54.84,55.13,53.08,56.63,57.16,59.34,55.45,56.62,58.47,61.62,62.63,59.37,57.2,57.49,61.37,61.0,60.55
Australia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,39.32,37.55,37.5,37.69,41.01,41.01,41.0,39.53,36.98,41.18,44.79,43.29,42.66,43.8,45.28,44.27,37.91,47.26,47.99,47.47,47.6,47.48,46.0,46.21,45.42,43.72,42.82,43.1,42.85
Kazakhstan,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,36.78,42.35,42.16,41.31,48.6,69.89,63.7,69.24,57.47,52.69,67.56,39.03,27.38,38.42,33.55,26.15,20.85,27.78,21.24,36.0,43.15,43.56,49.43,59.44,60.43,75.82,88.7,85.46,80.97
Ukraine,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,35.62,31.42,37.65,41.78,55.54,56.93,60.51,65.16,61.35,56.23,75.58,83.91,81.82,75.23,96.37,97.78,88.76,88.16,80.79,81.02,78.99,83.41,87.22,98.17,97.3,132.83,188.69,196.8,195.06
Malaysia,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,35.47,32.45,29.63,28.82,28.61,29.1,31.97,28.52,30.44,29.62,43.2,43.43,37.91,35.12,33.3,29.56,28.41,26.43,25.85,23.05,23.62,23.82,23.8,20.24,18.43,17.82,16.69,15.4,14.02
Spain,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,33.62,32.02,28.45,28.93,33.12,35.54,36.15,39.08,40.05,37.87,46.06,49.51,45.21,56.75,56.08,55.63,51.28,51.2,47.19,41.34,44.21,44.49,38.94,42.62,41.75,38.45,39.99,42.58,41.05
Italy,CAIT,Manufacturing/Construction,All GHG,MtCO₂e,32.26,31.92,34.65,34.85,35.12,38.09,43.32,45.03,45.8,43.23,56.96,60.54,61.76,66.47,68.28,76.46,69.96,70.87,73.35,71.91,68.72,68.98,66.9,68.52,67.52,65.81,67.79,69.94,74.03
