"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",55.12614,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",57.46072,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",59.2011,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",60.94851,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",62.53771,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",64.29215,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",66.17669,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",67.72369,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",68.77496,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",70.27977,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",72.65302,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",74.70631,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",75.89118,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",77.61398,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",79.69189,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",82.39564,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",85.05367,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",87.47998,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",90.83842,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",90.51545,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",91.99994,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",94.90424,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",96.86812,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.28708,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.88152,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.2616,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.4186,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.9446,,
