"REF_DATE","GEO","DGUID","Fuel type","Supply and demand characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","742681","","","","0"
"1996","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","775313","","","","0"
"1997","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","848153","","","","0"
"1998","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","756403","","","","0"
"1999","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","757760","","","","0"
"2000","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","783283","","","","0"
"2001","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","823735","","","","0"
"2002","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","634820","","","","0"
"2003","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","600063","","","","0"
"2004","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","704749","","","","0"
"2005","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","728943","","","","0"
"2006","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","637810","","","","0"
"2007","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","666137","","","","0"
"2008","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","676083","","","","0"
"2009","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","566403","","","","0"
"2010","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","671849","","","","0"
"2011","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2012","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2013","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2014","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2015","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2016","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2017","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"2018","British Columbia","2016A000259","Total coal","Production","Terajoules","283","units","0","v54274204","12.29.1","","x","","","0"
"1995","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","96586","","","","0"
"1996","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","102035","","","","0"
"1997","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","115209","","","","0"
"1998","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","120568","","","","0"
"1999","British Columbia","2016A000259","Crude oil","Production","Terajoules","283","units","0","v54274253","12.4.1","101261","","","","0"
