"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","108173.3","","","","1"
"1998","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","109206.1","","","","1"
"1999","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","114741.2","","","","1"
"2000","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","125088.3","","","","1"
"2001","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","127241.9","","","","1"
"2002","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","131323.0","","","","1"
"2003","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","138589.3","","","","1"
"2004","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","150846.6","","","","1"
"2005","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","162714.9","","","","1"
"2006","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","175334.3","","","","1"
"2007","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","184393.5","","","","1"
"2008","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","191421.5","","","","1"
"2009","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","182953.4","","","","1"
"2010","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","190873.5","","","","1"
"2011","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","202033.2","","","","1"
"2012","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","206590.6","","","","1"
"2013","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","214088.8","","","","1"
"2014","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","225863.3","","","","1"
"2015","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","231725.3","","","","1"
"2016","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","243317.1","","","","1"
"2017","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","260220.3","","","","1"
"2018","British Columbia","2016A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v62463299","10.1.1","","..","","","1"
"1997","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6965.5","","","","1"
"1998","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6204.2","","","","1"
"1999","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6122.7","","","","1"
"2000","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6112.4","","","","1"
"2001","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6248.1","","","","1"
"2002","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","6709.4","","","","1"
"2003","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","7369.5","","","","1"
"2004","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","8873.1","","","","1"
"2005","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","10191.0","","","","1"
"2006","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","12429.0","","","","1"
"2007","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","14607.5","","","","1"
"2008","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","15954.1","","","","1"
"2009","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","14385.3","","","","1"
"2010","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","14555.2","","","","1"
"2011","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","15085.6","","","","1"
"2012","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","16797.2","","","","1"
"2013","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","17279.2","","","","1"
"2014","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","18590.2","","","","1"
"2015","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","18629.5","","","","1"
"2016","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","18867.2","","","","1"
"2017","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","20810.3","","","","1"
"2018","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v62463345","10.1.47","","..","","","1"
"1997","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","11470.5","","","","1"
"1998","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","10821.4","","","","1"
"1999","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","13271.2","","","","1"
"2000","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","15808.5","","","","1"
"2001","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","14358.8","","","","1"
"2002","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","13592.0","","","","1"
"2003","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","13065.7","","","","1"
"2004","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","15596.1","","","","1"
"2005","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","15147.2","","","","1"
"2006","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","16184.4","","","","1"
"2007","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","15791.1","","","","1"
"2008","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","14549.3","","","","1"
"2009","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","12352.4","","","","1"
"2010","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","13092.4","","","","1"
"2011","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","13773.2","","","","1"
"2012","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","14693.3","","","","1"
"2013","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","14954.5","","","","1"
"2014","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","15693.3","","","","1"
"2015","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","16152.7","","","","1"
"2016","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v62463356","10.1.58","17190.6","","","","1"
