"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","74133.0","","","","1"
"1991","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","77388.7","","","","1"
"1992","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","81452.1","","","","1"
"1993","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","87648.2","","","","1"
"1994","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","94700.6","","","","1"
"1995","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","98986.6","","","","1"
"1996","British Columbia","2016A000259","Current dollars","All industries","Dollars","81","millions","6","v3826205","10.1.1","101769.2","","","","1"
"1990","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","5612.7","","","","1"
"1991","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","5673.6","","","","1"
"1992","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","6144.9","","","","1"
"1993","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","6384.0","","","","1"
"1994","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","6722.3","","","","1"
"1995","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","6522.0","","","","1"
"1996","British Columbia","2016A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v3826221","10.1.17","7028.9","","","","1"
"1990","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","8739.0","","","","1"
"1991","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","8262.2","","","","1"
"1992","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","8033.8","","","","1"
"1993","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","9271.6","","","","1"
"1994","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","10960.9","","","","1"
"1995","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","11856.3","","","","1"
"1996","British Columbia","2016A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v3826231","10.1.27","12840.2","","","","1"


